,gdasCont,kor,kor_num,keyword,gdasScrVal,mbrNo,goodsNm
19,패드 양이 많아서 아침 저녁으로 사용할 수 있어서 좋은 것 같아요,패드 양이 많아서 아침 저녁으로 사용할 수 있어서 좋은 것 같아요,4.0,저녁 아침 사용 패드,10.0,M0000016017452,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
20,패드가 두껍지 않아서 피부에 바로 스며드는 느낌이네요  또 너무 얇지 않아서 하나씩 떼어내기에도 쉬워요 패드로 정돈하면 수분이 채워지면서 매끈하게 마무리 돼요   패드 정착템 될듯합니다 ,패드가 두껍지 않아서 피부에 바로 스며드는 느낌이네요  또 너무 얇지 않아서 하나씩 떼어내기에도 쉬워요 패드로 정돈하면 수분이 채워지면서 매끈하게 마무리 돼요   패드 정착템 될듯합니다 ,7.0,패드 정돈 수분 정착 피부 마무리 느낌,10.0,M0000018225780,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
21,네모패드 모양으로 넓어서 사용하기 편하고 매일 팩토하기 좋아요,네모패드 모양으로 넓어서 사용하기 편하고 매일 팩토하기 좋아요,4.0,네모 패드 모양 사용,10.0,M0000010820672,[선우PICK]메디힐 티트리 진정 패드 100매
22,매일 사용하기 좋은데 에센스 양이 좀만 더 있으면 좋을 것 같아요 건성피부에는 티트리보다 더 촉촉한 마데카 패드 추천합니다 ,매일 사용하기 좋은데 에센스 양이 좀만 더 있으면 좋을 것 같아요 건성피부에는 티트리보다 더 촉촉한 마데카 패드 추천합니다 ,8.0,건성 피부 추천 트리 패드 마데카 사용 에센스,8.0,M0000010820672,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
23,매번 구매해서 쓰는 제품입니다 부담없이 쓰기 좋은 것 같습니다,매번 구매해서 쓰는 제품입니다 부담없이 쓰기 좋은 것 같습니다,3.0,구매 제품 부담,10.0,M0000003843709,[선우PICK]메디힐 티트리 진정 패드 100매
24,티트리 진정패드 너무 좋은거같아요 순간적으로 빠르게 진정되서 화장하기전에 항상 붙이고있어요,티트리 진정패드 너무 좋은거같아요 순간적으로 빠르게 진정되서 화장하기전에 항상 붙이고있어요,4.0,순간 화장 패드 트리,10.0,M0000011644406,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
25,용액이 넉넉해서 얼굴에 착 붙어요  머리 말릴 때 볼이랑 이마 입 등에 붙여두면 좋아요  티트리 성분이 잘 맞아서 트러블이 나거나 하진 않았어요  진정 효과는 사실 잘 모르겠지만 머리 말릴 때 사용하면 촉촉하고 괜찮았어요  리필용도 손쉽게 교체 가능해서 좋았어요 ,용액이 넉넉해서 얼굴에 착 붙어요  머리 말릴 때 볼이랑 이마 입 등에 붙여두면 좋아요  티트리 성분이 잘 맞아서 트러블이 나거나 하진 않았어요  진정 효과는 사실 잘 모르겠지만 머리 말릴 때 사용하면 촉촉하고 괜찮았어요  리필용도 손쉽게 교체 가능해서 좋았어요 ,13.0,머리 사용 효과 트러블 교체 트리 얼굴 가능 이마 용액 리필 성분 하진,10.0,M0000003280099,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
26,패드 촉촉하고 좋아요  세안 후에 홍조가 좀 있는데 바로 올려두면 시원하고 좋습니가,패드 촉촉하고 좋아요  세안 후에 홍조가 좀 있는데 바로 올려두면 시원하고 좋습니가,4.0,패드 홍조 좋습니가 세안,10.0,M0000011558556,[선우PICK]메디힐 티트리 진정 패드 100매
27,두께가 얇고 내장된 양이 많아서 매일 여러 장씩 쓰기 부담이 없어요  가벼운 팩으로도 쓸 수 있어서 추천합니당,두께가 얇고 내장된 양이 많아서 매일 여러 장씩 쓰기 부담이 없어요  가벼운 팩으로도 쓸 수 있어서 추천합니당,4.0,부담 추천 내장 두께,10.0,M0000003446092,[선우PICK]메디힐 티트리 진정 패드 100매
28,패드가 좀 얇아 닦는 용도보단 팩 대신 얼굴에 붙이고 머리 말릴때 정말 잘 사용한거 같아용 그래서 닦는 용도보단 붙이는 용도를 찾는 분께 추천 ,패드가 좀 얇아 닦는 용도보단 팩 대신 얼굴에 붙이고 머리 말릴때 정말 잘 사용한거 같아용 그래서 닦는 용도보단 붙이는 용도를 찾는 분께 추천 ,7.0,패드 머리 사용 얼굴 추천 대신 용도,10.0,M0000018746176,[선우PICK]메디힐 티트리 진정 패드 100매
29,티트리가 원래 잘 맞고 메디힐 다른 티트리 패드제품은 정말 인생템이라고 할정도였는데    이거는 사용하면 간지럽고 빨갛게 뾰루지가 올라와요    저한테는 맞지 않는 것 같아요,티트리가 원래 잘 맞고 메디힐 다른 티트리 패드제품은 정말 인생템이라고 할정도였는데    이거는 사용하면 간지럽고 빨갛게 뾰루지가 올라와요    저한테는 맞지 않는 것 같아요,8.0,패드 제품 뾰루지 트리 사용 인생 정도 메디,4.0,M0000011679110,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
30,두께가 두껍진 않은데 전 밀착이 잘 되는 것 같아서 좋아요  그리고 패드면이 정말 자극이 없고 부드러워용    토너 양은 딱 적당해요 ,두께가 두껍진 않은데 전 밀착이 잘 되는 것 같아서 좋아요  그리고 패드면이 정말 자극이 없고 부드러워용    토너 양은 딱 적당해요 ,5.0,밀착 자극 패드 두께 토너,10.0,M0000019947362,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
31,200매짜리도 나오면 좋겠어요 얼굴 전체에 쓰려면 매번 4 5장씩 써서 헤프네요,200매짜리도 나오면 좋겠어요 얼굴 전체에 쓰려면 매번 4 5장씩 써서 헤프네요,2.0,얼굴 전체,10.0,M0000002396561,[선우PICK]메디힐 티트리 진정 패드 100매
32,패드가 약간 뻣뻣하고 찢어지지 않는 점 빼고 다 만족  이거 쓰고 여드름 거의 안나요,패드가 약간 뻣뻣하고 찢어지지 않는 점 빼고 다 만족  이거 쓰고 여드름 거의 안나요,3.0,패드 여드름 만족,10.0,M0000003635973,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
33,패드가 거즈처럼 생겼는데 사용하면 전혀 자극감없고 5분 붙여뒀다가 닦아내주기 좋아요 동생꺼 몇개 훔쳐쓰다가 좋아서 따라샀어욘,패드가 거즈처럼 생겼는데 사용하면 전혀 자극감없고 5분 붙여뒀다가 닦아내주기 좋아요 동생꺼 몇개 훔쳐쓰다가 좋아서 따라샀어욘,5.0,패드 거즈 사용 자극 동생,10.0,M0000016788424,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
34,닥토는 항상 매디힐 제품 사용하는데 봄이라 그런지 피부가 뒤집어졌었눈데 좁쌀도 많이 없어지고 너무 좋네요,닥토는 항상 매디힐 제품 사용하는데 봄이라 그런지 피부가 뒤집어졌었눈데 좁쌀도 많이 없어지고 너무 좋네요,6.0,좁쌀 닥토 피부 사용 매디힐 제품,10.0,M0000014676074,[선우PICK]메디힐 티트리 진정 패드 100매
35,세통째 쓰는중 입니당 피부가 예민한 편 이라서 너무 잘맞아요,세통째 쓰는중 입니당 피부가 예민한 편 이라서 너무 잘맞아요,1.0,피부,10.0,M0000019414903,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
36,거즈같은 질감이에요  세안 후 노폐물 닦아내고 아침에 토너팩으로 좋아요,거즈같은 질감이에요  세안 후 노폐물 닦아내고 아침에 토너팩으로 좋아요,6.0,아침 토너 거즈 질감 세안 노폐물,10.0,M0000017614720,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
37,네모 모양이라 면적이 넓어 얼굴을 크게 덮을 수 있어서 좋아요  좁살 많이 올라올 때 진정하기 좋습니당,네모 모양이라 면적이 넓어 얼굴을 크게 덮을 수 있어서 좋아요  좁살 많이 올라올 때 진정하기 좋습니당,5.0,얼굴 모양 진정 네모 면적,10.0,M0000010991729,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
38,여드름 날 때는 얘로 닥토하는데 큰 효과는 아직 잘 모르겠어요 그래도 각질 제거 잘 되는편이라 꾸준히 잘 사용하고 있어요  ,여드름 날 때는 얘로 닥토하는데 큰 효과는 아직 잘 모르겠어요 그래도 각질 제거 잘 되는편이라 꾸준히 잘 사용하고 있어요  ,6.0,효과 여드름 닥토 사용 각질 제거,10.0,M0000013372209,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
39,거즈타입으로 되어있고 거즈도 똑같기 보단 쓰다보면 부드러운 거즈가 있고 각질 제거하기 좋은 거칠한 거즈가 있음  불량인지 의도한 건지 모르겠는데 개인적으로 좋았음  아침 저녁으로 무난하게 쓰기 좋고 트러블도 안나고 좋았다  이제 한 4장정도 남았는데 재구매 하려구요 ,거즈타입으로 되어있고 거즈도 똑같기 보단 쓰다보면 부드러운 거즈가 있고 각질 제거하기 좋은 거칠한 거즈가 있음  불량인지 의도한 건지 모르겠는데 개인적으로 좋았음  아침 저녁으로 무난하게 쓰기 좋고 트러블도 안나고 좋았다  이제 한 4장정도 남았는데 재구매 하려구요 ,13.0,트러블 구매 정도 개인 아침 불량 이제 거즈 의도 각질 제거 저녁 타입,10.0,M0000012461153,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
40,촉촉하고 샤워하고 난 후에 팩으로 사용했는데 열감도 내랴가고 진정에 좋드라구요,촉촉하고 샤워하고 난 후에 팩으로 사용했는데 열감도 내랴가고 진정에 좋드라구요,4.0,샤워 진정 사용 내랴,10.0,M0000004747756,[선우PICK]메디힐 티트리 진정 패드 100매
41,메디힐 티드리 패드 많이사둬서 쟁여두고 사용하고 있습니다  자극적이지 않고 아주 좋습니다 ,메디힐 티드리 패드 많이사둬서 쟁여두고 사용하고 있습니다  자극적이지 않고 아주 좋습니다 ,4.0,자극 메디 사용 패드,10.0,M0000015558162,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
42,얼굴 진정시키고 싱플때나 수분감 주고 싶을때 볼에 쟉쟉 붙이고 있으면 좋아요 ㅋㅋ,얼굴 진정시키고 싱플때나 수분감 주고 싶을때 볼에 쟉쟉 붙이고 있으면 좋아요 ㅋㅋ,5.0,싱플 진정 쟉쟉 수분 얼굴,10.0,M0000012192479,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
43,티트리가 진정효과에 좋다해서 처음 구매해봤어요  트러블 나서 요새 계속 사용중인데 진정 확실히 돼요  쿨링감 엄청 있고 패드도 얇아서 좋아요,티트리가 진정효과에 좋다해서 처음 구매해봤어요  트러블 나서 요새 계속 사용중인데 진정 확실히 돼요  쿨링감 엄청 있고 패드도 얇아서 좋아요,9.0,패드 링감 트러블 사용 구매 진정 효과 트리 처음,10.0,M0000003666532,[선우PICK]메디힐 티트리 진정 패드 100매
44,처음 써봤는데 편리하고 좋은 것 같아요  또 사려구요  좋습니다 ,처음 써봤는데 편리하고 좋은 것 같아요  또 사려구요  좋습니다 ,2.0,처음 편리,10.0,M0000001534639,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
45,일단 패드가 크고 너무 자극없어서 좋아요  얇아서 토너팩 하기도 좋고 용량도 많아서 아직 잘 쓰고 있습니다 ,일단 패드가 크고 너무 자극없어서 좋아요  얇아서 토너팩 하기도 좋고 용량도 많아서 아직 잘 쓰고 있습니다 ,4.0,패드 토너 자극 용량,10.0,M0000003758958,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
46,메디힐 티트리 상품은 원래 유명한 거 다들 아시죠 이런 식으로 상품이 나와서 쓰기 편안하네요,메디힐 티트리 상품은 원래 유명한 거 다들 아시죠 이런 식으로 상품이 나와서 쓰기 편안하네요,5.0,상품 편안 메디 트리 유명,8.0,M0000011532012,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
47,세일해서 사봤는데 스킨로션 바르기전에 부분팩하기 넘 조음,세일해서 사봤는데 스킨로션 바르기전에 부분팩하기 넘 조음,5.0,세일 부분 스킨 로션 조음,10.0,M0000017746998,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
48,패드 짱 크고 용량도 많아서 데일리로 쓰기 가장 좋은거 같아요,패드 짱 크고 용량도 많아서 데일리로 쓰기 가장 좋은거 같아요,3.0,데일리 용량 패드,10.0,M0000020707121,[선우PICK]메디힐 티트리 진정 패드 100매
49,울 떠누가 광고하는 제품 원래 메디힐 티트리팩 광인인데 팩 하기 귀찮으면 이걸로 대체합니다,울 떠누가 광고하는 제품 원래 메디힐 티트리팩 광인인데 팩 하기 귀찮으면 이걸로 대체합니다,6.0,광고 광인 메디 대체 제품 트리,10.0,M0000014686273,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
50,요즘 피부가 뒤집어져서 진정패드 구매했어요  일주일정도 저녁에 사용했더니 조금 효과가 있는 것 같아요  앞으로 꾸준히 사용해보려구요 ,요즘 피부가 뒤집어져서 진정패드 구매했어요  일주일정도 저녁에 사용했더니 조금 효과가 있는 것 같아요  앞으로 꾸준히 사용해보려구요 ,8.0,피부 사용 패드 효과 정도 구매 요즘 저녁,10.0,M0000017340410,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
51,피부가 건조하고 뾰루지같은 것이 생겨서 진정을 위해 구매했어요 ,피부가 건조하고 뾰루지같은 것이 생겨서 진정을 위해 구매했어요 ,5.0,피부 뾰루지 건조 구매 진정,10.0,M0000010104447,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
52,토너팩으로 주로 사용하고있어요 자주써서 계속 리필해서 사용하고있습니더 좋아욤,토너팩으로 주로 사용하고있어요 자주써서 계속 리필해서 사용하고있습니더 좋아욤,3.0,사용 토너 리필,10.0,M0000021457644,[선우PICK]메디힐 티트리 진정 패드 100매
53,두께가 적당해서 닦토하기도 좋고 토너팩으로 사용하기도 좋아요  ,두께가 적당해서 닦토하기도 좋고 토너팩으로 사용하기도 좋아요  ,4.0,토너 두께 닦토 사용,10.0,M0000021457644,[선우PICK]메디힐 티트리 진정 패드 100매
54,메디힐 패드 종류별로 다 써보고 있는데 피부 진정에는 역시 티트리네요,메디힐 패드 종류별로 다 써보고 있는데 피부 진정에는 역시 티트리네요,6.0,트리 종류 메디 진정 피부 패드,10.0,M0000003696496,[선우PICK]메디힐 티트리 진정 패드 100매
55,처음 사용해봤는데 무난한 것 같아요 씻고 바로 팩처럼 올리면 진정효과가 좋긴하더라구용,처음 사용해봤는데 무난한 것 같아요 씻고 바로 팩처럼 올리면 진정효과가 좋긴하더라구용,3.0,사용 효과 처음,8.0,M0000010821228,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
56,집게가 너무너무 집기 힘든게 흠이지만   제품 자체는 넘 맘에 들었어요  에센스도 많고 패드도 얇아서 좋았습니다,집게가 너무너무 집기 힘든게 흠이지만   제품 자체는 넘 맘에 들었어요  에센스도 많고 패드도 얇아서 좋았습니다,6.0,패드 제품 에센스 자체 집게 집기,10.0,M0000003829312,[선우PICK]메디힐 티트리 진정 패드 100매
57,촉촉하고 거즈처럼 생겨서 얼굴에 올려놔도 안떨어져서 좋아요,촉촉하고 거즈처럼 생겨서 얼굴에 올려놔도 안떨어져서 좋아요,2.0,얼굴 거즈,10.0,M0000000765412,[선우PICK]메디힐 티트리 진정 패드 100매
58,메디힐은 항상 믿고 쓰네요 트러블에도 좋고 피부 진정에도 좋아요,메디힐은 항상 믿고 쓰네요 트러블에도 좋고 피부 진정에도 좋아요,4.0,트러블 진정 메디 피부,8.0,M0000015079965,[선우PICK]메디힐 티트리 진정 패드 100매
59,순하고 ㅈ진정은 잘모르겟지만 데일리로 잘 사용하고 잇어요,순하고 ㅈ진정은 잘모르겟지만 데일리로 잘 사용하고 잇어요,3.0,데일리 진정 사용,10.0,M0000019316484,[선우PICK]메디힐 티트리 진정 패드 100매
60,패드가 큰편이라서 좋아요  메디힐 티트리 라인은 진정이 필요할때 좋습니다 ,패드가 큰편이라서 좋아요  메디힐 티트리 라인은 진정이 필요할때 좋습니다 ,6.0,필요 라인 메디 진정 패드 트리,10.0,M0000003475266,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
61,순하고 진정은 잘모르겟지만 데일리로 쓰기 좋습니다 추천해요,순하고 진정은 잘모르겟지만 데일리로 쓰기 좋습니다 추천해요,3.0,추천 데일리 진정,10.0,M0000019316484,[선우PICK]메디힐 티트리 진정 패드 100매
62,굿굿굿    좋아요  쉽게 사용할수잇어서 좋습니당    ,굿굿굿    좋아요  쉽게 사용할수잇어서 좋습니당    ,1.0,사용,10.0,M0000011361683,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
63,진정이 필요할 때 하나씩 사용하고 있는데 무난하게 좋은 거 같아요 ,진정이 필요할 때 하나씩 사용하고 있는데 무난하게 좋은 거 같아요 ,3.0,필요 진정 사용,10.0,M0000016804497,[선우PICK]메디힐 티트리 진정 패드 100매
64,여드름 진정에 딱 좋아요   여드름 피부 강추 드려요 진짜 밤에 붙이고 자기 딱 좋은 그런 패드  ,여드름 진정에 딱 좋아요   여드름 피부 강추 드려요 진짜 밤에 붙이고 자기 딱 좋은 그런 패드  ,5.0,진정 강추 여드름 패드 피부,10.0,M0000018690709,[선우PICK]메디힐 티트리 진정 패드 100매
65,완전 대박  진짜 좋아요  몇개사서 쟁여두고싶은 아이템  ,완전 대박  진짜 좋아요  몇개사서 쟁여두고싶은 아이템  ,1.0,아이템,10.0,M0000021940402,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
66,짱 좋아요 ㄹㅇ 이거 쓰면 피부 개 보들보들해짐 ㄹㅇ임 각질제거도 완전 잘되고 처음에 때처럼 나와서 당황할정도로 잘됨 근데 자극은 또 별로 없음 벌써 한통 다써서 이번에 재구매한건데 완전좋음 진정팩으로 써도 좋음 피부 까져서 한동안 맨날 붙였는데 좋음 재구매 계속 할꺼임 완전좋음,짱 좋아요 ㄹㅇ 이거 쓰면 피부 개 보들보들해짐 ㄹㅇ임 각질제거도 완전 잘되고 처음에 때처럼 나와서 당황할정도로 잘됨 근데 자극은 또 별로 없음 벌써 한통 다써서 이번에 재구매한건데 완전좋음 진정팩으로 써도 좋음 피부 까져서 한동안 맨날 붙였는데 좋음 재구매 계속 할꺼임 완전좋음,11.0,피부 한동안 구매 자극 이번 각질 제거 처음 당황 정도 진정,10.0,M0000015144655,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
67,보풀 잘 일어나구요  민감성 비추 따가워요 ㅠㅠ 패드 수가 줄어갈수록 에센스가 많아지긴 하는데 처음에 쓸 때는 바싹 말라있을 정도로 에센스가 많지 않더라구요  기대 이하였어요 완전 ㅠㅠ,보풀 잘 일어나구요  민감성 비추 따가워요 ㅠㅠ 패드 수가 줄어갈수록 에센스가 많아지긴 하는데 처음에 쓸 때는 바싹 말라있을 정도로 에센스가 많지 않더라구요  기대 이하였어요 완전 ㅠㅠ,6.0,처음 정도 에센스 기대 보풀 패드,4.0,M0000017881166,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
68,피부에 촵하고 질 붙고 스킨의 양이 넉넉해서 오히려 짜서 쓰는 수준이에요    진짜 촉촉하고 아주아주 예민보스잉 저의 피부에 아직까지 트러블이 넚는골로 보아하니 성분은 합격이구요    대신 피부 연하신 분들은 문질러서 사용 금지   그냥 슥슥 닦는 용도로만 사용하시고 각질이 좀 있으신 분들은 롤링해서 사용하시면 각질제거도 되고 좋아요  ,피부에 촵하고 질 붙고 스킨의 양이 넉넉해서 오히려 짜서 쓰는 수준이에요    진짜 촉촉하고 아주아주 예민보스잉 저의 피부에 아직까지 트러블이 넚는골로 보아하니 성분은 합격이구요    대신 피부 연하신 분들은 문질러서 사용 금지   그냥 슥슥 닦는 용도로만 사용하시고 각질이 좀 있으신 분들은 롤링해서 사용하시면 각질제거도 되고 좋아요  ,15.0,피부 사용 트러블 대신 각질 제거 스킨 용도 금지 합격 성분 수준 롤링 넚는 예민보스잉,8.0,M0000004636979,[선우PICK]메디힐 티트리 진정 패드 100매
